,class,message,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,valid,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,
1,valid,Ok lar... Joking wif u oni...,,,
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
3,valid,U dun say so early hor... U c already then say...,,,
4,valid,"Nah I don't think he goes to usf, he lives around here though",,,
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,
6,valid,Even my brother is not like to speak with me. They treat me like aids patent.,,,
7,valid,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,
10,valid,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
12,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
13,valid,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,
14,valid,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
16,valid,Oh k...i'm watching here:),,,
17,valid,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,
18,valid,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,
20,valid,Is that seriously how you spell his name?,,,
21,valid,IÛ÷m going to try for 2 months ha ha only joking,,,
22,valid,So Ì_ pay first lar... Then when is da stock comin...,,,
23,valid,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,
24,valid,Ffffffffff. Alright no way I can meet up with you sooner?,,,
25,valid,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
26,valid,Lol your always so convincing.,,,
27,valid,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,
28,valid,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,
29,valid,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,
30,valid,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,
31,valid,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,
32,valid,K tell me anything about you.,,,
33,valid,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,
35,valid,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
36,valid,"Oops, I'll let you know when my roommate's done",,,
37,valid,I see the letter B on my car,,,
38,valid,Anything lor... U decide...,,,
39,valid,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
40,valid,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
41,valid,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
